model_name,Price (Dollar),Storage (GB),review,timestamp,stars,country,language,tk_review,timestamp_nanosec,timestamp_formatted
0,iPhone XR,168.39,64,"i am a content creator and needed a second phone. i was hesitant i’m not going to lie but with how many great reviews there are on this phone i decided to give it a shot. the battery holds a charge, there’s not a single scratch on it, and it works great. it’s in great condition.
read more",1974-12-16,5,the United States,en,"['content', 'creator', 'needed', 'second', 'phone', '.', 'hesitant', '’', 'going', 'lie', 'many', 'great', 'reviews', 'phone', 'decided', 'give', 'shot', '.', 'battery', 'holds', 'charge', ',', '’', 'single', 'scratch', ',', 'works', 'great', '.', '’', 'great', 'condition', '.', 'read']",156384000000000000,16/12/1974
1,iPhone XR,168.39,64,"got it to replace my 13 year olds xr in a pinch battery holds a charge better than his old one just swapped his sim card over without an issue. works like new.
read more",1974-12-25,5,the United States,en,"['got', 'replace', '13', 'year', 'olds', 'xr', 'pinch', 'battery', 'holds', 'charge', 'better', 'old', 'one', 'swapped', 'sim', 'card', 'without', 'issue', '.', 'works', 'like', 'new', '.', 'read']",157161600000000000,25/12/1974
2,iPhone XR,168.39,64,"the exterior is in perfect condition and so far it’s operating like my previous one iphone xr. i had accidentally ordered the one that was only 2g (which no one should want) and the seller responded and my cancellation was approved and i got the phone a day earlier. this phone has 4g.the battery: i tested this one. i got 8.2 hours from 100% to 3% with it in low mode purposely doing battery-sucking things such as downloading all my apps while a long update was happening, watching videos, syncing stuff from icloud such as photos, playing a game, etc. the phone was a bit warm and working hard. they guarantee that it will be at least at 80% capacity and some people are lucky to get more. mine came at 79% which is not a big deal and i just can’t be without a phone.80% isn’t terrible unless you constantly are doing battery sucking things. don’t fret. my previous one was four or five years old and was at 80% before it got destroyed. they say you lose 1% a month. not mine because i did battery saving things. at home i would plug it in since i watch battery-sucking things like long yt videos. often i keep it in low mode and the screen turns off quickly-i have to put in my lock screen password a lot which is annoying but it saves usage. when i charge it i practically turn off the light. turn off background refresh on apps that aren’t that important to be refreshed. keep your screen brightness as dim as you can handle. i think using it in airplane mode helps. i keep location services off until an app needs it. if you put it on never so you don’t have to keep tapping the screen, that seriously sucks up the battery. if you take lots of photos and videos, say on vacation, you might want to bring an external battery charger. limit your notifications on your lock screen because all that lighting up sucks your battery. look at your battery health to see what you’re doing.80% isn’t bad. it depends what you do on it and how you set your screen.
read more",1974-09-02,5,the United States,en,"['exterior', 'perfect', 'condition', 'far', '’', 'operating', 'like', 'previous', 'one', 'iphone', 'xr', '.', 'accidentally', 'ordered', 'one', '2g', '(', 'one', 'want', ')', 'seller', 'responded', 'cancellation', 'approved', 'got', 'phone', 'day', 'earlier', '.', 'phone', '4g.the', 'battery', ':', 'tested', 'one', '.', 'got', '8.2', 'hours', '100', '%', '3', '%', 'low', 'mode', 'purposely', 'battery-sucking', 'things', 'downloading', 'apps', 'long', 'update', 'happening', ',', 'watching', 'videos', ',', 'syncing', 'stuff', 'icloud', 'photos', ',', 'playing', 'game', ',', 'etc', '.', 'phone', 'bit', 'warm', 'working', 'hard', '.', 'guarantee', 'least', '80', '%', 'capacity', 'people', 'lucky', 'get', '.', 'mine', 'came', '79', '%', 'big', 'deal', '’', 'without', 'phone', '.', '80', '%', '’', 'terrible', 'unless', 'constantly', 'battery', 'sucking', 'things', '.', '’', 'fret', '.', 'previous', 'one', 'four', 'five', 'years', 'old', '80', '%', 'got', 'destroyed', '.', 'say', 'lose', '1', '%', 'month', '.', 'mine', 'battery', 'saving', 'things', '.', 'home', 'would', 'plug', 'since', 'watch', 'battery-sucking', 'things', 'like', 'long', 'yt', 'videos', '.', 'often', 'keep', 'low', 'mode', 'screen', 'turns', 'quickly-i', 'put', 'lock', 'screen', 'password', 'lot', 'annoying', 'saves', 'usage', '.', 'charge', 'practically', 'turn', 'light', '.', 'turn', 'background', 'refresh', 'apps', '’', 'important', 'refreshed', '.', 'keep', 'screen', 'brightness', 'dim', 'handle', '.', 'think', 'using', 'airplane', 'mode', 'helps', '.', 'keep', 'location', 'services', 'app', 'needs', '.', 'put', 'never', '’', 'keep', 'tapping', 'screen', ',', 'seriously', 'sucks', 'battery', '.', 'take', 'lots', 'photos', 'videos', ',', 'say', 'vacation', ',', 'might', 'want', 'bring', 'external', 'battery', 'charger', '.', 'limit', 'notifications', 'lock', 'screen', 'lighting', 'sucks', 'battery', '.', 'look', 'battery', 'health', 'see', '’', '.', '80', '%', '’', 'bad', '.', 'depends', 'set', 'screen', '.', 'read']",147312000000000000,02/09/1974
3,iPhone XR,168.39,64,"i have had this product for a few years and it still runs well enough to keep for now. please be aware that the ""crack"" seen on the front of the phone was not there upon arrival, that is in fact a slightly cracked screen cover i installed personally after purchasing.the apple iphone xr, 64gb, black (renewed) is an excellent choice for those looking to get a high-quality iphone without breaking the bank. as a renewed product, it offers great functionality and performance, making it a worthwhile investment.performance and quality:the iphone xr performs impressively well. the a12 bionic chip ensures smooth operation, and the battery life is commendable. the 6.1-inch liquid retina display is vibrant and clear, making it perfect for media consumption and everyday use. despite being a renewed product, it functions just as efficiently as a brand-new phone.value for money:at this price point, the iphone xr is a fantastic deal. you get all the features and capabilities of an iphone without the premium price tag of a brand-new model. for those on a budget, this unlocked version provides flexibility and the freedom to choose your carrier.condition:however, it’s important to note that the phone does come with some visible wear and tear. while these cosmetic imperfections do not affect the device's performance, they are noticeable. for instance, there might be minor scratches or scuffs on the screen and body. this is expected with a renewed product, but it’s something potential buyers should be aware of.overall:overall, the apple iphone xr, 64gb, black (unlocked) (renewed) is a solid purchase. it delivers high performance and quality at a reduced cost, making it an excellent value. while it’s not perfect due to visible wear and tear, it’s a small trade-off for the significant savings and the ability to own a high-functioning iphone. i would definitely recommend it for anyone looking to get the most out of their money.
read more",1974-10-19,4,the United States,en,"['product', 'years', 'still', 'runs', 'well', 'enough', 'keep', '.', 'please', 'aware', '""', 'crack', '""', 'seen', 'front', 'phone', 'upon', 'arrival', ',', 'fact', 'slightly', 'cracked', 'screen', 'cover', 'installed', 'personally', 'purchasing.the', 'apple', 'iphone', 'xr', ',', '64gb', ',', 'black', '(', 'renewed', ')', 'excellent', 'choice', 'looking', 'get', 'high-quality', 'iphone', 'without', 'breaking', 'bank', '.', 'renewed', 'product', ',', 'offers', 'great', 'functionality', 'performance', ',', 'making', 'worthwhile', 'investment.performance', 'quality', ':', 'iphone', 'xr', 'performs', 'impressively', 'well', '.', 'a12', 'bionic', 'chip', 'ensures', 'smooth', 'operation', ',', 'battery', 'life', 'commendable', '.', '6.1-', 'inch', 'liquid', 'retina', 'display', 'vibrant', 'clear', ',', 'making', 'perfect', 'media', 'consumption', 'everyday', 'use', '.', 'despite', 'renewed', 'product', ',', 'functions', 'efficiently', 'brand-new', 'phone.value', 'money', ':', 'price', 'point', ',', 'iphone', 'xr', 'fantastic', 'deal', '.', 'get', 'features', 'capabilities', 'iphone', 'without', 'premium', 'price', 'tag', 'brand-new', 'model', '.', 'budget', ',', 'unlocked', 'version', 'provides', 'flexibility', 'freedom', 'choose', 'carrier.condition', ':', 'however', ',', '’', 'important', 'note', 'phone', 'come', 'visible', 'wear', 'tear', '.', 'cosmetic', 'imperfections', 'affect', ""device's"", 'performance', ',', 'noticeable', '.', 'instance', ',', 'might', 'minor', 'scratches', 'scuffs', 'screen', 'body', '.', 'expected', 'renewed', 'product', ',', '’', 'something', 'potential', 'buyers', 'aware', 'of.overall', ':', 'overall', ',', 'apple', 'iphone', 'xr', ',', '64gb', ',', 'black', '(', 'unlocked', ')', '(', 'renewed', ')', 'solid', 'purchase', '.', 'delivers', 'high', 'performance', 'quality', 'reduced', 'cost', ',', 'making', 'excellent', 'value', '.', '’', 'perfect', 'due', 'visible', 'wear', 'tear', ',', '’', 'small', 'trade-off', 'significant', 'savings', 'ability', 'high-functioning', 'iphone', '.', 'would', 'definitely', 'recommend', 'anyone', 'looking', 'get', 'money', '.', 'read']",151372800000000000,19/10/1974
4,iPhone XR,168.39,64,"item was received exactly as expected. the phone i got is several years old, but for a renewed, it functions like a charm and activated fine. i got this as a spare and also to have for arkit developelment and face tracking.the seller included a charging cable, sim card popper and as a bonus also put a screen protector on it for me. that was something i didn't expect and was an extremely nice gesture.was very happy with my experience with amazon renewed too.
read more",1974-11-30,5,the United States,en,"['item', 'received', 'exactly', 'expected', '.', 'phone', 'got', 'several', 'years', 'old', ',', 'renewed', ',', 'functions', 'like', 'charm', 'activated', 'fine', '.', 'got', 'spare', 'also', 'arkit', 'developelment', 'face', 'tracking.the', 'seller', 'included', 'charging', 'cable', ',', 'sim', 'card', 'popper', 'bonus', 'also', 'put', 'screen', 'protector', '.', 'something', 'expect', 'extremely', 'nice', 'gesture.was', 'happy', 'experience', 'amazon', 'renewed', '.', 'read']",155001600000000000,30/11/1974
5,iPhone XR,168.39,64,"i’ve had this phone for a couple years now, it works well and it’s like a brand new phone. there were some scratches on the sides when i initially got it but it doesn’t bother me, just use phone case and screen cover to protect it. when i upgrade however i’ll have to get a phone with more storage because 64gb is just not enough.
read more",1974-12-17,5,the United States,en,"['’', 'phone', 'couple', 'years', ',', 'works', 'well', '’', 'like', 'brand', 'new', 'phone', '.', 'scratches', 'sides', 'initially', 'got', '’', 'bother', ',', 'use', 'phone', 'case', 'screen', 'cover', 'protect', '.', 'upgrade', 'however', '’', 'get', 'phone', 'storage', '64gb', 'enough', '.', 'read']",156470400000000000,17/12/1974
6,iPhone XR,168.39,64,"hey guys, so i ordered this phone on the 19th and got it the next day, the phone came in great condition. there was no visible scratches or dents or marks on the phone at all on the plus side it came with a glass screen protector already on it, the battery life is compatible with 100%, which is great because on there it’s listed at about 80 all in all no problems. great phone so happy i bought it.
read more",1975-01-01,5,the United States,en,"['hey', 'guys', ',', 'ordered', 'phone', '19th', 'got', 'next', 'day', ',', 'phone', 'came', 'great', 'condition', '.', 'visible', 'scratches', 'dents', 'marks', 'phone', 'plus', 'side', 'came', 'glass', 'screen', 'protector', 'already', ',', 'battery', 'life', 'compatible', '100', '%', ',', 'great', '’', 'listed', '80', 'problems', '.', 'great', 'phone', 'happy', 'bought', '.', 'read']",157766400000000000,01/01/1975
7,iPhone 11,230.0,64,"i honestly can’t say enough amazing things about my experience buying a renewed iphone 11 from this seller and dealing with their customer service! i would 1000/10 recommend anyone and everyone even considering purchasing a phone from them to absolutely do so because you won’t be disappointed!!! but read below for the full story/review, both good and bad opinions.my oldest daughter dropped her iphone xr in the toilet and it completely died. this seller had the best priced renewed iphone i found with next day delivery and good reviews, so i purchased the phone. it was my first time buying a phone that wasn’t brand new, so i was nervous about what condition the phone and battery would be in.the phone was sent via ups, which i didn’t love because they left the package at the gate on the street instead of driving into our ranch and delivering it to our house in the back corner like amazon and usps do. not to mention it was supposed to be here between by like 1:45 or 2:45 and they didn’t deliver it until 10pm! but that’s an issue with ups, not the seller.when we opened the package i was pleased to see that there were very minimal dents or scuff marks on the phone and it appeared to be in really good condition. one thing i wasn’t pleased with was the fact that the phone arrived dead. i worried that meant the battery wasn’t great, but i was wrong. after charging for a bit i checked the battery health and it was 100%, so they clearly installed a brand new battery! i was really happy with my purchase, but upon setting up the phone i noticed there was this awful high pitched screech/glitching sound coming from the speaker, so i reached out to the seller to try and get a replacement sent instead of going thru the hassle and delay of returning it and having to order a new one once the refund posted.the seller responded almost immediately (they did so every single time we communicated over the course of a week, even when i reached out at almost 8pm their time!) and offered to send me the shipping label and then they’d overnight a replacement to me once they received the phone. i asked them if i could pay to overnight the phone to them so there wouldn’t be as long of a wait without a phone, and they said they would do me one better and as soon as i took the phone to the post office to send them a copy of my receipt and they’d overnight me the replacement then! this took place on a friday and i didn’t want the shipping delay the weekend would cause, so i told them i’d reach out monday for the shipping label and that i had out a brand new screen protector on the phone when i got it so i’d be sending it back with it on.life got hectic and i didn’t reach out until thursday afternoon, but they quickly sent me the shipping label. when trying to wipe the phone there was an hour delay because stolen phone protection was on, so i missed making it to the post office by like 6 mins and had to go friday morning instead.i went to the post office and all was well until i mentioned that there was a phone in the package when i asked them for extra tape, and she said they couldn’t ship a used phone via priority mail (only new never used phones) so i needed to have them send me a hazardous shipping label instead. when i told the seller they offered to send me a new label, but i chose to try another post office first and just not mention the contents of the package because the battery was brand new, and i didn’t want to go thru the hassle of sending the label somewhere to be printed since i don’t have a printer, going there and paying to have it printed, and then going back to the post office. i took it to another post office nearby and had zero issues sending it.when i got back to the car i sent them a copy of the receipt, and true to their word within only like 5-10 minutes they had already send me the tracking information for the replacement shipment and let me know they put a screen protector on the new phone for me! of course there were issues with ups again including a delay that showed it wasn’t going to come until monday, but thankfully it arrived on saturday like it was supposed to, and fairly early (10-11am).when i opened the replacement package and inspected the phone i was shocked! i thought the first phone was is great condition, but this one looked brand new! there wasn’t a single scratch or dent or scuff or any abnormality on the exterior of the phone! it’s also worth noting that the phone wasn't dead this time, it was midway charged. i checked the battery health again and it was also 100%! i tested out the speaker and there were no issues with the phone whatsoever. honestly if you put it side by side with a brand new phone nobody could tell the difference, and it was a fraction of the cost of a new phone!i also reached out to the seller a few days later for a friend of mine to see if they also sold androids and they were super helpful in getting me the info i was looking for!between the phenomenal condition of the phone and the excellent customer service, i won't buy a renewed phone from anyone else in the future when one of my daughters inevitably break their phone! this was honestly the best experience i've ever had with a seller/replacement item on amazon in the 15+ years i've used the site!
read more",1974-02-22,5,the United States,en,"['honestly', '’', 'say', 'enough', 'amazing', 'things', 'experience', 'buying', 'renewed', 'iphone', '11', 'seller', 'dealing', 'customer', 'service', '!', 'would', '1000/10', 'recommend', 'anyone', 'everyone', 'even', 'considering', 'purchasing', 'phone', 'absolutely', '’', 'disappointed', '!', '!', '!', 'read', 'full', 'story', '/', 'review', ',', 'good', 'bad', 'opinions.my', 'oldest', 'daughter', 'dropped', 'iphone', 'xr', 'toilet', 'completely', 'died', '.', 'seller', 'best', 'priced', 'renewed', 'iphone', 'found', 'next', 'day', 'delivery', 'good', 'reviews', ',', 'purchased', 'phone', '.', 'first', 'time', 'buying', 'phone', '’', 'brand', 'new', ',', 'nervous', 'condition', 'phone', 'battery', 'would', 'in.the', 'phone', 'sent', 'via', 'ups', ',', '’', 'love', 'left', 'package', 'gate', 'street', 'instead', 'driving', 'ranch', 'delivering', 'house', 'back', 'corner', 'like', 'amazon', 'usps', '.', 'mention', 'supposed', 'like', '1:45', '2:45', '’', 'deliver', '10pm', '!', '’', 'issue', 'ups', ',', 'seller.when', 'opened', 'package', 'pleased', 'see', 'minimal', 'dents', 'scuff', 'marks', 'phone', 'appeared', 'really', 'good', 'condition', '.', 'one', 'thing', '’', 'pleased', 'fact', 'phone', 'arrived', 'dead', '.', 'worried', 'meant', 'battery', '’', 'great', ',', 'wrong', '.', 'charging', 'bit', 'checked', 'battery', 'health', '100', '%', ',', 'clearly', 'installed', 'brand', 'new', 'battery', '!', 'really', 'happy', 'purchase', ',', 'upon', 'setting', 'phone', 'noticed', 'awful', 'high', 'pitched', 'screech', '/', 'glitching', 'sound', 'coming', 'speaker', ',', 'reached', 'seller', 'try', 'get', 'replacement', 'sent', 'instead', 'going', 'thru', 'hassle', 'delay', 'returning', 'order', 'new', 'one', 'refund', 'posted.the', 'seller', 'responded', 'almost', 'immediately', '(', 'every', 'single', 'time', 'communicated', 'course', 'week', ',', 'even', 'reached', 'almost', '8p', 'time', '!', ')', 'offered', 'send', 'shipping', 'label', '’', 'overnight', 'replacement', 'received', 'phone', '.', 'asked', 'could', 'pay', 'overnight', 'phone', '’', 'long', 'wait', 'without', 'phone', ',', 'said', 'would', 'one', 'better', 'soon', 'took', 'phone', 'post', 'office', 'send', 'copy', 'receipt', '’', 'overnight', 'replacement', '!', 'took', 'place', 'friday', '’', 'want', 'shipping', 'delay', 'weekend', 'would', 'cause', ',', 'told', '’', 'reach', 'monday', 'shipping', 'label', 'brand', 'new', 'screen', 'protector', 'phone', 'got', '’', 'sending', 'back', 'on.life', 'got', 'hectic', '’', 'reach', 'thursday', 'afternoon', ',', 'quickly', 'sent', 'shipping', 'label', '.', 'trying', 'wipe', 'phone', 'hour', 'delay', 'stolen', 'phone', 'protection', ',', 'missed', 'making', 'post', 'office', 'like', '6', 'mins', 'go', 'friday', 'morning', 'instead', '.', 'went', 'post', 'office', 'well', 'mentioned', 'phone', 'package', 'asked', 'extra', 'tape', ',', 'said', '’', 'ship', 'used', 'phone', 'via', 'priority', 'mail', '(', 'new', 'never', 'used', 'phones', ')', 'needed', 'send', 'hazardous', 'shipping', 'label', 'instead', '.', 'told', 'seller', 'offered', 'send', 'new', 'label', ',', 'chose', 'try', 'another', 'post', 'office', 'first', 'mention', 'contents', 'package', 'battery', 'brand', 'new', ',', '’', 'want', 'go', 'thru', 'hassle', 'sending', 'label', 'somewhere', 'printed', 'since', '’', 'printer', ',', 'going', 'paying', 'printed', ',', 'going', 'back', 'post', 'office', '.', 'took', 'another', 'post', 'office', 'nearby', 'zero', 'issues', 'sending', 'it.when', 'got', 'back', 'car', 'sent', 'copy', 'receipt', ',', 'true', 'word', 'within', 'like', '5-10', 'minutes', 'already', 'send', 'tracking', 'information', 'replacement', 'shipment', 'let', 'know', 'put', 'screen', 'protector', 'new', 'phone', '!', 'course', 'issues', 'ups', 'including', 'delay', 'showed', '’', 'going', 'come', 'monday', ',', 'thankfully', 'arrived', 'saturday', 'like', 'supposed', ',', 'fairly', 'early', '(', '10-11', ')', '.', 'opened', 'replacement', 'package', 'inspected', 'phone', 'shocked', '!', 'thought', 'first', 'phone', 'great', 'condition', ',', 'one', 'looked', 'brand', 'new', '!', '’', 'single', 'scratch', 'dent', 'scuff', 'abnormality', 'exterior', 'phone', '!', '’', 'also', 'worth', 'noting', 'phone', 'dead', 'time', ',', 'midway', 'charged', '.', 'checked', 'battery', 'health', 'also', '100', '%', '!', 'tested', 'speaker', 'issues', 'phone', 'whatsoever', '.', 'honestly', 'put', 'side', 'side', 'brand', 'new', 'phone', 'nobody', 'could', 'tell', 'difference', ',', 'fraction', 'cost', 'new', 'phone', '!', 'also', 'reached', 'seller', 'days', 'later', 'friend', 'mine', 'see', 'also', 'sold', 'androids', 'super', 'helpful', 'getting', 'info', 'looking', '!', 'phenomenal', 'condition', 'phone', 'excellent', 'customer', 'service', ',', 'buy', 'renewed', 'phone', 'anyone', 'else', 'future', 'one', 'daughters', 'inevitably', 'break', 'phone', '!', 'honestly', 'best', 'experience', ""i've"", 'ever', 'seller', '/', 'replacement', 'item', 'amazon', '15', '+', 'years', ""i've"", 'used', 'site', '!', 'read']",130723200000000000,22/02/1974
8,iPhone 11,230.0,64,"okay, it came in a weird packaging so i was suspicious it was absolutely wonderfully packed tho. it came in a small box, iphone in bubble wrap and then a lighting cable to charge in a plastic bag. the screen had no scratches, the back was wonderfully brand new, i chose yellow . it looked flawless all around. brightness is also very very significant and good. it’s very bright . memory capacity i went with 64 gigabytes and there’s 54 left i believe . the battery life was at 100% for me which is wonderful, i diagnosed the phone and nothing was wrong with it, also the speaker quality was absolutely wonderful. everything about this device so far was so flawless and wonderful. i bought this for my mother and she’s so happy with this gift . it also arrived very fast, it had came two days before the arrival date and that was a wonderful experience too. other than that, the phone is very quick with everything . it responds very quick and doesn’t have any freezes or lags either . anyone who wants a backup phone, extra phone or a good gift for someone. i highly recommend this purchase! i am not a big reviewer and nor do i type but this is worth to help others make the best decision i’ve made. seems very unrealistic with the price but it’s very legit .
read more",1974-02-15,5,the United States,en,"['okay', ',', 'came', 'weird', 'packaging', 'suspicious', 'absolutely', 'wonderfully', 'packed', 'tho', '.', 'came', 'small', 'box', ',', 'iphone', 'bubble', 'wrap', 'lighting', 'cable', 'charge', 'plastic', 'bag', '.', 'screen', 'scratches', ',', 'back', 'wonderfully', 'brand', 'new', ',', 'chose', 'yellow', '.', 'looked', 'flawless', 'around', '.', 'brightness', 'also', 'significant', 'good', '.', '’', 'bright', '.', 'memory', 'capacity', 'went', '64', 'gigabytes', '’', '54', 'left', 'believe', '.', 'battery', 'life', '100', '%', 'wonderful', ',', 'diagnosed', 'phone', 'nothing', 'wrong', ',', 'also', 'speaker', 'quality', 'absolutely', 'wonderful', '.', 'everything', 'device', 'far', 'flawless', 'wonderful', '.', 'bought', 'mother', '’', 'happy', 'gift', '.', 'also', 'arrived', 'fast', ',', 'came', 'two', 'days', 'arrival', 'date', 'wonderful', 'experience', '.', ',', 'phone', 'quick', 'everything', '.', 'responds', 'quick', '’', 'freezes', 'lags', 'either', '.', 'anyone', 'wants', 'backup', 'phone', ',', 'extra', 'phone', 'good', 'gift', 'someone', '.', 'highly', 'recommend', 'purchase', '!', 'big', 'reviewer', 'type', 'worth', 'help', 'others', 'make', 'best', 'decision', '’', 'made', '.', 'seems', 'unrealistic', 'price', '’', 'legit', '.', 'read']",130118400000000000,15/02/1974
9,iPhone 11,230.0,64,"the only complaint so far is that the directions for set-up are very minimal and actually wrong. once i used online instructions, i had no problem setting up the phone.phone works perfectly so far and appears to be brand new. it came with a cord and charger.i choose this phone because it is has high ratings for good video quality, decent sound quality and good battery life. it’s a nice size and looks good. very reasonably priced!!
read more",1974-01-26,5,the United States,en,"['complaint', 'far', 'directions', 'set-up', 'minimal', 'actually', 'wrong', '.', 'used', 'online', 'instructions', ',', 'problem', 'setting', 'phone.phone', 'works', 'perfectly', 'far', 'appears', 'brand', 'new', '.', 'came', 'cord', 'charger', '.', 'choose', 'phone', 'high', 'ratings', 'good', 'video', 'quality', ',', 'decent', 'sound', 'quality', 'good', 'battery', 'life', '.', '’', 'nice', 'size', 'looks', 'good', '.', 'reasonably', 'priced', '!', '!', 'read']",128390400000000000,26/01/1974
